imagepath,polygon_1,polygon_2,polygon_3,polygon_4,polygon_5,polygon_6,polygon_7,polygon_8,labelname
FH_barcode_breit_nr_gross\Images\PXL_20230412_123409948.jpg,356.263093532891,617.344329464955,562.123167084777,307.650856986953,341.489252014075,449.168466416693,570.285653417088,465.508891948608,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123413860.jpg,326.210264151102,561.01669655134,661.648024722871,427.451479160036,515.30334860585,309.710259538231,427.453482654108,625.115681045529,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123414860.jpg,281.688525020667,552.842925687176,659.416433692998,395.591106182081,524.454376309157,296.310219462702,422.936878855318,646.395689548172,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123416301.jpg,284.545982455735,604.266506473202,708.389201667615,397.081644755589,560.736478782578,318.656100531987,473.952303439186,708.219293839861,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123433749.jpg,214.600972906313,481.121520851519,564.962983834779,307.111570291058,428.063551167662,246.263134128639,374.848063540758,555.030103339709,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123434651.jpg,266.441354085587,536.621223055212,625.664701316081,365.852908582311,484.799922928162,291.408204131618,425.623277113447,621.455269964206,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123437658.jpg,223.139388629958,420.7427239486,506.736768022454,320.721282614473,518.35369117362,323.741835349967,425.013208599893,622.06533847776,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123440754.jpg,232.89757802841,501.247786485825,586.022056884872,321.331169451876,647.688216047018,485.409991441716,621.455269964206,776.412672406863,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123443143.jpg,406.509621077962,771.344976166521,648.178053221023,276.811118885354,219.854164859629,476.320467227571,656.313181253072,402.644693092781,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123444554.jpg,487.013247001276,743.484701881571,679.366838161497,426.247951318854,370.818220917512,483.106273290671,603.355045794762,495.256846122094,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123448194.jpg,423.413633107099,627.248505868644,599.795997752611,400.765313911371,422.831647682407,480.483122213238,577.941567253453,518.231111489378,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123450220.jpg,357.52030654701,584.656791097859,657.994216921473,438.401010455338,478.91642059018,336.042443503437,439.112819935515,575.702017971522,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123455155.jpg,352.459781738508,708.438328788727,668.496836833583,319.508050875514,344.636891153352,416.056247958717,586.863381017702,516.942332397065,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123508747.jpg,206.185225125233,443.26726639465,563.181649439893,343.422256109301,642.807667938588,380.218496075367,487.240196982377,750.676467871503,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123509378.jpg,259.732598874151,557.931115412742,658.598590535855,367.682569094521,536.045678066679,332.650425675528,470.158278602872,678.191641724707,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123510506.jpg,330.479472012924,678.724856170161,743.372860934902,395.127476777665,531.775198471802,408.541358733941,577.530336988335,708.084998888841,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123523071.jpg,233.507464865813,509.176315372067,577.483641161227,309.743319541215,345.704301837903,198.067721557891,338.383479675258,487.850265495931,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123524165.jpg,292.056601256522,661.648024722871,716.53784008916,350.605737647231,378.648001569807,267.615532103021,450.636086169151,567.159172257921,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123524853.jpg,154.832062840798,595.780246283324,656.768930023645,223.749275467362,383.528549678237,259.074572913268,474.428758197748,612.3042422609,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123527906.jpg,325.158432485912,735.757456876156,753.240383705425,351.133066632254,316.668471705097,271.719226163259,474.490267163106,528.429361813312,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123529953.jpg,304.338379153805,525.674225839322,499.25118677764,275.17008928052,333.265964036295,389.201620872756,499.357116851308,450.627894331201,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123531313.jpg,362.485167857491,667.039082129029,588.868159574733,278.685938879286,349.998643331976,500.035273368607,655.073124406458,521.915615248948,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123534284.jpg,596.511589103143,167.538704435357,95.9928529069723,534.211193518326,489.618802375212,628.518984692743,406.549899404509,277.688651904964,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123535038.jpg,771.058561683211,450.627178981358,387.808834728827,718.977387438773,460.162226355186,592.171981313626,421.35279751857,295.678683726494,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123536730.jpg,766.79443965493,448.634695245984,447.407858185281,768.430222402533,603.930904635561,601.069213391206,441.632129777163,440.814503707348,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123540382.jpg,246.315088451281,636.642664389339,676.895195657951,300.595016980167,264.565189535252,170.614638447972,373.157384947823,457.346839818243,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123541341.jpg,301.20490381757,623.225153966468,668.966666771709,360.573076433859,440.874989952291,324.961972377075,478.089169279071,596.190379712046,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123543880.jpg,375.609164193229,565.423798339571,642.848188583473,458.528188583473,576.874659786182,406.067526727197,499.961506303481,670.768639362466,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123637021.jpg,322.787616825674,733.872231248872,765.61226374481,362.718625449597,425.953749559083,350.177749559083,554.977749559083,629.729749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123643094.jpg,448.316696061141,714.640975896532,718.01216931217,448.316696061141,357.150852439741,354.341524593376,490.312992357437,491.717656280619,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123646088.jpg,288.589137537225,615.000795096423,438.738500014456,116.057261398791,173.223928065458,559.322288721196,689.886951744875,327.103709486223,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124522297.jpg,317.156320737686,811.174568456721,755.37354358483,304.357920537711,265.185749559083,350.689749559083,556.001749559083,476.641749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124522879.jpg,324.963125031429,800.867701541983,741.457800400718,299.948429814055,333.744675078008,430.643331976665,626.316103649437,535.043820377154,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124524410.jpg,364.70428543791,789.203161036494,717.310609143942,307.835639668973,376.03740985737,506.286799620133,703.20987654321,575.053588386922,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124531450.jpg,174.326174505965,739.503527336861,706.739622824925,200.434910913914,390.113749559083,389.601749559083,584.161749559083,589.281749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124533207.jpg,152.172636005969,834.214150047483,777.325261158594,171.552367385701,392.123122802821,415.267899833976,667.358309119254,654.222084317788,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124535958.jpg,135.106808470343,555.091894227241,658.942751796219,284.010611602334,632.40458711497,320.321129588889,456.905332271453,732.362858351929,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124758180.jpg,206.1224684256,829.991223086301,843.736189529254,222.921871855876,392.809952241646,362.288342703643,659.874035699172,694.210846429426,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124759214.jpg,100.744392362961,807.082945681379,820.827912124332,104.562438597114,352.368819603792,338.634095311691,683.528283091125,693.447806190976,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124801763.jpg,96.9263461288069,771.193311080335,784.174668276458,119.071014286898,438.592366548651,401.203394864597,725.495496205879,769.751830035983,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124830712.jpg,213.758560893908,800.974071706734,778.829403548643,167.178396837233,408.070757010648,461.483573702153,765.936628843733,705.656450006177,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124831613.jpg,266.447598925227,858.244765219038,866.644466934176,244.302930767136,331.76673316564,340.923216027041,641.561069976371,627.063305445819,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124832294.jpg,321.763744809676,762.540647696816,770.219687816801,309.477280617701,494.049749559083,499.169749559083,722.401749559083,714.721749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124833112.jpg,449.765846383296,913.276659209545,1024,549.03504847129,620.195943299768,425.620682495,659.110995460722,864.368819603792,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124833729.jpg,201.540812944616,703.995697359232,803.264899447226,301.573624279441,359.503900192938,170.892416225749,416.774593705242,612.258560893907,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124834478.jpg,414.222838350931,707.113668045255,599.049621465924,309.885138205371,272.474612988797,477.311856123913,622.560083074267,416.233114534533,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124912748.jpg,398.788317117165,638.309866857159,600.861351034071,350.080024936527,243.865542956792,244.927919184329,758.259119970651,737.756339103021,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124913747.jpg,218.260293930733,694.581913942645,737.27399256087,245.808238173744,432.944099276092,378.648001569807,608.643831179577,675.774432404394,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124914502.jpg,561.503249211426,692.511453911746,444.16546587114,327.966884310856,120.39482631103,624.991044331052,684.221300170874,192.154559347737,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124916433.jpg,474.177479978026,703.598245005349,600.079119322289,347.343235897881,304.721195825021,353.216642090959,835.373290542689,772.8887732385,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124917151.jpg,347.390179089284,557.382721967733,561.964377448717,347.390179089284,210.443335252079,208.917254775178,639.27194926102,640.798029737921,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124919868.jpg,509.148723532544,737.753997181385,510.081806282131,309.469015120903,128.458900743054,520.152889814092,646.054529158354,245.967097464365,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124934000.jpg,137.537367365815,387.700233815326,592.277866822927,338.779495487422,694.770383937051,278.001967168634,390.251594084928,823.690747524081,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124934700.jpg,332.859155198996,577.197549992923,790.438330903985,550.54245237904,638.089879256546,213.541785375119,324.680029846696,763.676095509428,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124936800.jpg,483.098638447972,646.938638447972,465.804416225749,292.862194003527,338.550638447972,423.201305114638,761.803971781305,667.140860670194,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124955086.jpg,392.687929428052,725.686142650209,688.432565070246,349.57562646701,368.276836839393,445.755538060721,627.333550567264,546.080044698356,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124955597.jpg,312.171115412741,707.784773949327,661.330139802986,271.710627607863,179.323554771703,261.231068870164,462.004365623707,381.095723648398,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_124959419.jpg,362.193587557892,881.817173025432,826.927357659143,326.820150988505,191.967036422354,270.055806157236,529.334924417587,442.705195492952,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125006386.jpg,170.89241622575,581.159517202948,763.500450970592,349.8978451074,539.176841676842,167.975105141772,380.249152082485,745.893976393976,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125006907.jpg,236.490678983621,624.368159951193,799.823883753557,413.272437941276,523.617487450821,171.407488127365,366.521873903047,720.332180165514,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125008786.jpg,300.573797194489,493.186950368274,606.378446226895,418.768232096584,686.955908289242,449.397910731244,543.79595712929,778.853344186677,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125014637.jpg,330.341134174468,819.835639668973,846.092049925383,355.347239180573,463.434057439352,407.135951147354,654.222084317788,704.26484546623,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125015603.jpg,301.199164574923,816.501886052842,845.268785552823,314.331879564045,366.476207714245,323.314326223713,579.157942595124,624.821962143078,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125016754.jpg,361.57170731582,566.670032151945,561.449347519753,350.384525961122,302.269121081178,308.972885401963,726.840861397599,729.075449504527,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125017454.jpg,461.081341307183,737.928246844642,772.395130666575,478.870700699148,275.078902345345,272.854779627637,858.911115743838,876.704097485507,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125022203.jpg,298.018880474649,737.136488946207,727.412439341359,281.917376716593,336.353749559083,353.249749559083,574.945749559083,553.013122503467,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125025303.jpg,169.246647303272,698.307451150747,662.661510465988,121.71872639026,342.496811830145,414.389363722697,680.079229412563,605.6860670194,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125026425.jpg,373.025933721145,784.134589338088,805.088139573407,372.606862716439,421.096453323404,383.387779018985,589.528531883142,618.857500786579,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125029520.jpg,369.534847247375,820.064302877502,911.697412497189,468.040440088538,530.15719516266,332.52977340409,555.337523031512,754.491025266982,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125030187.jpg,211.467733153416,732.249239491969,791.047151497935,287.828657836488,529.025152989359,382.41217759786,638.221275286152,782.543422937159,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125031237.jpg,270.353537568086,619.439684488487,630.335530610853,287.116377756341,417.744571163011,390.09154333977,564.808400950245,592.042443503436,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125217750.jpg,356.874970188202,827.723687896633,805.204836180143,332.820742218315,459.233749559083,504.289749559083,746.977749559083,698.337749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125218567.jpg,402.508680205291,885.292297900623,869.032746009329,373.116413324875,529.115181446682,580.409011623835,832.499420909113,776.826849131471,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_125220750.jpg,406.260884487897,668.289816889897,566.354933879095,303.075266716226,308.927032393536,513.476818587794,645.46460111681,442.165883951264,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_131959104.jpg,159.542304368926,923.915160446481,836.100097060947,163.36035060308,312.160126889433,380.884959104198,664.947598925227,612.258560893908,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132000703.jpg,241.788088667133,802.626327030731,625.939483643825,85.6197174154803,93.0577851541883,439.32697314084,710.419297946179,380.096717301018,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132142426.jpg,172.024158047146,696.246969718234,559.079860964918,104.273425363612,138.627895552952,545.886160529337,773.950788916113,386.578892246006,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132143074.jpg,351.292062556431,878.231054598871,711.185961760675,263.016200487465,140.940851397135,579.095512764912,800.207617418,386.470243680626,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132144554.jpg,317.438194003527,849.007971781305,761.626638447972,277.38841622575,211.11952733686,411.368416225749,663.499971781305,454.148860670194,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132158536.jpg,309.191266800462,781.806651415847,593.032115606829,186.963150089587,307.75956284153,816.45305514158,1024,535.654247391952,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132159052.jpg,374.379595712929,852.42734107102,660.936624890648,248.077208445025,329.463818512999,813.740023182646,1024,557.358503063421,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_132159973.jpg,298.847789631943,796.926751437605,949.675377333382,482.31017869705,554.659265041779,194.432646110807,422.241322417815,730.92207881381,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_klein\Images\PXL_20230412_123256632.jpg,285.58041622575,742.511971781305,660.591971781305,250.991971781305,142.852860670194,374.95952733686,599.784416225749,367.677749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_123258334.jpg,186.798369892776,681.078208247516,656.823096816315,173.031955296689,370.294891684563,416.184776447687,660.056735474576,609.577862235139,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_123301257.jpg,250.263595265051,664.633318700276,762.263595265051,362.053988278151,671.721021426695,454.221112352318,655.334041975886,868.364774836406,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124149761.jpg,297.185749559083,717.275505656644,683.308676388351,286.1964812664,412.060759466109,481.981808086746,658.282737823067,588.36168920243,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124150684.jpg,259.096544293359,741.390059651721,713.43101528312,255.102395097844,375.601926971063,397.07767761883,610.836311973349,595.353794064493,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124201903.jpg,307.548433265153,732.85194764215,718.538848600617,311.637890134163,489.054441826468,480.060555058497,667.705738081178,682.014194302951,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124208023.jpg,309.133432703812,729.345463674628,714.098292739548,321.331169451876,546.416842797093,666.600339967185,866.092743899267,730.657533890331,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124211553.jpg,455.890978905415,949.90922662445,968.850858920413,478.92809926537,477.153749559083,435.681749559083,689.121749559083,710.113749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124213344.jpg,496.651880109523,911.532174768823,926.199659933545,513.414720297777,436.179923045171,397.633278200654,605.868957415057,637.711837938788,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124419907.jpg,256.073277849732,760.449692382192,761.059579219595,253.023843662716,318.861287241537,326.182109404182,579.97061104255,579.97061104255,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124421278.jpg,266.659519573639,753.320363824003,802.508136749767,311.375676778879,418.467702641461,335.787942685105,577.123458233387,668.741570617457,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124424489.jpg,270.951634784968,813.584113417447,807.957739791073,279.703771537105,326.867996201329,319.366164699498,589.432098765432,590.682404015737,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124424987.jpg,230.316714150047,779.200719034052,767.322819156152,239.068850902184,358.125627458961,353.749559082892,611.312440645774,623.815493148826,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124427550.jpg,277.138128380858,613.889806233207,731.485630245138,395.49756163962,580.950581773848,356.449463205615,519.86184202739,756.580708544914,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124430828.jpg,178.632535539694,794.865197732088,797.919634719411,233.612401311506,388.521051572506,337.359232034847,603.85885917877,642.802930767137,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124431307.jpg,38.1284341228412,605.490104518069,672.687718239172,99.9807831161298,407.307716772198,274.538715281885,567.546166846713,694.973886667876,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124432233.jpg,190.542542736854,644.502121657918,690.56340925983,217.15573112907,430.049749559083,400.353749559083,615.393749559083,666.081749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124435344.jpg,145.033728679142,789.519933004273,833.809269320455,156.487867381603,410.359877725998,379.838268187995,687.343484283375,743.80846192868,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124435858.jpg,189.323064995324,874.280559402483,887.261916598605,188.559455748494,217.310697398129,218.836777875029,556.100563269962,563.730965654463,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124436949.jpg,181.128627531525,745.835372063759,762.720291335487,179.877892770656,381.256274589608,346.872880206213,641.3197666531,664.450413783747,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124444392.jpg,264.92785650973,805.870640585458,821.504825096318,306.202103618398,475.029168362502,413.139058472392,666.951024284358,717.58838692172,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124444888.jpg,106.853266337606,619.998680207852,664.288016524034,158.015085875265,554.224258134773,448.082572825302,700.073624279441,809.269746576234,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124445913.jpg,230.974117409644,612.771012421045,678.792191317119,287.783038785335,459.745749559083,367.073749559083,550.881749559083,661.473749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124452050.jpg,44.7985385968324,658.909306183381,651.404897618169,51.0522124011761,387.118846687977,389.620984745399,681.120068435075,691.75415517912,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124452530.jpg,254.0047612106,722.806310581168,742.76620187533,256.563721632928,505.825749559083,497.633749559083,735.201749559083,753.121749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124454627.jpg,242.413663569832,726.193191128887,732.336423224875,220.912351233874,438.753749559083,412.641749559083,665.057749559083,673.761749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124458223.jpg,219.867434868553,847.554235763408,885.734698104944,265.683989678397,453.090131079202,359.236181749843,672.082679514373,777.382232420484,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124459612.jpg,118.379858827193,613.282804505511,627.101190786085,144.993047219408,406.497749559083,369.121749559083,612.833749559083,653.281749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124500549.jpg,284.712286278541,701.311043033609,718.200181820977,296.995296305717,445.921749559083,393.185749559083,618.977749559083,654.817749559083,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124508277.jpg,325.488349028579,631.058640805768,586.241664678447,275.239012158553,282.018513261682,277.948965323282,976.554694748683,925.007087528945,FH_barcode_breit_nr_klein
FH_barcode_breit_nr_klein\Images\PXL_20230412_124508841.jpg,240.484884532983,921.624332705988,906.352147769373,242.012103026644,382.890429141795,390.520831526296,726.258536444329,706.419490244627,FH_barcode_breit_nr_klein
